offline_datapoint_3 1701779613 5942,303
offline_datapoint_15 1701779613 0,020
offline_datapoint_22 1701779618 732403,000
offline_datapoint_16 1701779618 3671,000
offline_datapoint_7 1701779618 567934976,000
offline_datapoint_25 1701779618 482648064,000
offline_datapoint_14 1701779618 7387721728,000
offline_datapoint_20 1701779618 200998912,000
offline_datapoint_6 1701779618 1723,000
offline_datapoint_0 1701779616 24,939
offline_datapoint_19 1701779616 19852,454
offline_datapoint_2 1701779618 200998912,000
offline_datapoint_12 1701779616 11,638
offline_datapoint_1 1701779618 4459839488,000
offline_datapoint_18 1701779618 3709214720,000
offline_datapoint_17 1701779616 0,000
offline_datapoint_23 1701779616 22,587
offline_datapoint_5 1701779616 11,041
offline_datapoint_24 1701779616 2686,808
offline_datapoint_29 1701779618 1,000
offline_datapoint_11 1701779616 4904,423
offline_datapoint_27 1701779616 967,983
offline_datapoint_9 1701779616 0,995
offline_datapoint_28 1701779616 42,563
offline_datapoint_21 1701779616 98,278
offline_datapoint_10 1701779616 1,330
offline_datapoint_3 1701779616 10464,000
offline_datapoint_15 1701779616 0,020
offline_datapoint_22 1701779621 732403,000
offline_datapoint_16 1701779621 3676,000
offline_datapoint_7 1701779621 567939072,000
offline_datapoint_25 1701779621 482668544,000
offline_datapoint_14 1701779621 7392755712,000
offline_datapoint_20 1701779621 200904704,000
offline_datapoint_6 1701779621 1715,000
offline_datapoint_0 1701779619 16,036
offline_datapoint_19 1701779619 19523,770
offline_datapoint_2 1701779621 200904704,000
offline_datapoint_12 1701779619 5,679
offline_datapoint_1 1701779621 4464488448,000
offline_datapoint_18 1701779621 3713998848,000
offline_datapoint_17 1701779619 0,131
offline_datapoint_23 1701779619 24,049
offline_datapoint_5 1701779619 8,483
offline_datapoint_24 1701779619 2942,213
offline_datapoint_29 1701779621 0,000
offline_datapoint_11 1701779619 4656,694
offline_datapoint_27 1701779619 2466,822
offline_datapoint_9 1701779619 2,657
offline_datapoint_28 1701779619 47,105
offline_datapoint_21 1701779619 96,533
offline_datapoint_10 1701779619 4,677
offline_datapoint_3 1701779619 8613,220
offline_datapoint_15 1701779619 0,053
offline_datapoint_22 1701779624 732403,000
offline_datapoint_16 1701779624 3678,000
offline_datapoint_7 1701779624 567676928,000
offline_datapoint_25 1701779624 482680832,000
offline_datapoint_14 1701779624 7398076416,000
offline_datapoint_20 1701779624 200994816,000
offline_datapoint_6 1701779624 1707,000
offline_datapoint_0 1701779622 4,338
offline_datapoint_19 1701779622 14878,718
offline_datapoint_2 1701779624 200994816,000
offline_datapoint_12 1701779622 1,001
offline_datapoint_1 1701779624 4468740096,000
offline_datapoint_18 1701779624 3718860800,000
offline_datapoint_17 1701779622 0,912
offline_datapoint_23 1701779622 17,877
offline_datapoint_5 1701779622 6,387
offline_datapoint_24 1701779622 2137,544
offline_datapoint_29 1701779624 0,000
offline_datapoint_11 1701779622 3843,641
offline_datapoint_27 1701779622 895,259
offline_datapoint_9 1701779622 0,510
offline_datapoint_28 1701779622 30,365
offline_datapoint_21 1701779622 99,434
offline_datapoint_10 1701779622 1,335
offline_datapoint_3 1701779622 5074,989
offline_datapoint_15 1701779622 0,010
offline_datapoint_22 1701779627 732403,000
offline_datapoint_16 1701779627 3680,000
offline_datapoint_7 1701779627 567668736,000
offline_datapoint_25 1701779627 482721792,000
offline_datapoint_14 1701779627 7399993344,000
offline_datapoint_20 1701779627 201506816,000
offline_datapoint_6 1701779627 1712,000
offline_datapoint_0 1701779625 12,901
offline_datapoint_19 1701779625 19978,865
offline_datapoint_2 1701779627 201506816,000
offline_datapoint_12 1701779625 3,639
offline_datapoint_1 1701779627 4472107008,000
offline_datapoint_18 1701779627 3722465280,000
offline_datapoint_17 1701779625 0,000
offline_datapoint_23 1701779625 26,485
offline_datapoint_5 1701779625 11,499
offline_datapoint_24 1701779625 2272,250
