270 1701730514 0,087936 0,200000 0,087936 0,087936 0,001547
288 1701730514 0,070786 0,200000 0,070786 0,070786 0,001002
267 1701730514 0,000349 0,200000 0,000349 0,000349 0,000000
264 1701730514 0,138997 0,200000 0,138997 0,138997 0,003864
273 1701730514 0,147973 0,800000 0,137783 0,163239 0,017592
291 1701730515 0,188217 0,600000 0,160062 0,204495 0,021495
270 1701730515 0,087936 0,200000 0,087936 0,087936 0,001547
288 1701730515 0,070786 0,200000 0,070786 0,070786 0,001002
267 1701730515 0,000349 0,200000 0,000349 0,000349 0,000000
264 1701730515 0,138997 0,200000 0,138997 0,138997 0,003864
273 1701730515 0,147973 0,800000 0,137783 0,163239 0,017592
291 1701730516 0,188217 0,600000 0,160062 0,204495 0,021495
270 1701730516 0,087936 0,200000 0,087936 0,087936 0,001547
288 1701730516 0,070786 0,200000 0,070786 0,070786 0,001002
267 1701730516 0,000349 0,200000 0,000349 0,000349 0,000000
264 1701730516 0,138997 0,200000 0,138997 0,138997 0,003864
273 1701730516 0,147973 0,800000 0,137783 0,163239 0,017592
291 1701730517 0,188217 0,600000 0,160062 0,204495 0,021495
270 1701730517 0,087936 0,200000 0,087936 0,087936 0,001547
288 1701730517 0,070786 0,200000 0,070786 0,070786 0,001002
267 1701730517 0,000349 0,200000 0,000349 0,000349 0,000000
264 1701730517 0,138997 0,200000 0,138997 0,138997 0,003864
273 1701730517 0,147973 0,800000 0,137783 0,163239 0,017592
291 1701730518 0,192835 0,400000 0,165723 0,219948 0,015168
309 1701730518 0,217114 0,200000 0,217114 0,217114 0,009428
312 1701730518 0,132357 0,200000 0,132357 0,132357 0,003504
288 1701730518 0,071491 0,200000 0,071491 0,071491 0,001022
306 1701730518 0,244910 0,400000 0,233796 0,256023 0,024042
297 1701730518 0,084574 0,400000 0,081648 0,087499 0,002865
300 1701730518 15,654946 0,200000 15,654946 15,654946 49,015464
303 1701730518 15,655056 0,200000 15,655056 15,655056 49,016159
273 1701730518 0,157523 0,200000 0,157523 0,157523 0,004963
291 1701730519 0,192835 0,400000 0,165723 0,219948 0,015168
309 1701730519 0,217114 0,200000 0,217114 0,217114 0,009428
312 1701730519 0,132357 0,200000 0,132357 0,132357 0,003504
288 1701730519 0,071491 0,200000 0,071491 0,071491 0,001022
306 1701730519 0,244910 0,400000 0,233796 0,256023 0,024042
297 1701730519 0,084574 0,400000 0,081648 0,087499 0,002865
300 1701730519 15,654946 0,200000 15,654946 15,654946 49,015464
303 1701730519 15,655056 0,200000 15,655056 15,655056 49,016159
273 1701730519 0,157523 0,200000 0,157523 0,157523 0,004963
303 1701730520 15,655056 0,200000 15,655056 15,655056 49,016159
306 1701730520 0,244910 0,400000 0,233796 0,256023 0,024042
312 1701730520 0,132357 0,200000 0,132357 0,132357 0,003504
291 1701730520 0,192835 0,400000 0,165723 0,219948 0,015168
309 1701730520 0,217114 0,200000 0,217114 0,217114 0,009428
288 1701730520 0,071491 0,200000 0,071491 0,071491 0,001022
297 1701730520 0,084574 0,400000 0,081648 0,087499 0,002865
300 1701730520 15,654946 0,200000 15,654946 15,654946 49,015464
273 1701730520 0,157523 0,200000 0,157523 0,157523 0,004963
291 1701730521 0,192835 0,400000 0,165723 0,219948 0,015168
309 1701730521 0,217114 0,200000 0,217114 0,217114 0,009428
312 1701730521 0,132357 0,200000 0,132357 0,132357 0,003504
288 1701730521 0,071491 0,200000 0,071491 0,071491 0,001022
306 1701730521 0,244910 0,400000 0,233796 0,256023 0,024042
297 1701730521 0,084574 0,400000 0,081648 0,087499 0,002865
300 1701730521 15,654946 0,200000 15,654946 15,654946 49,015464
303 1701730521 15,655056 0,200000 15,655056 15,655056 49,016159
273 1701730521 0,157523 0,200000 0,157523 0,157523 0,004963
318 1701730523 0,106456 0,200000 0,106456 0,106456 0,002267
291 1701730522 0,192835 0,400000 0,165723 0,219948 0,015168
291 1701730523 0,196485 0,200000 0,196485 0,196485 0,007721
315 1701730523 0,081807 0,200000 0,081807 0,081807 0,001338
309 1701730522 0,217114 0,200000 0,217114 0,217114 0,009428
309 1701730523 0,139638 0,200000 0,139638 0,139638 0,003900
312 1701730522 0,132357 0,200000 0,132357 0,132357 0,003504
312 1701730523 0,148905 0,600000 0,139523 0,154295 0,013330
321 1701730523 15,706886 0,200000 15,706886 15,706886 49,341255
288 1701730522 0,071491 0,200000 0,071491 0,071491 0,001022
324 1701730523 20,755947 0,200000 20,755947 20,755947 86,161864
306 1701730522 0,244910 0,400000 0,233796 0,256023 0,024042
297 1701730522 0,084574 0,400000 0,081648 0,087499 0,002865
297 1701730523 0,082890 0,200000 0,082890 0,082890 0,001374
300 1701730522 15,654946 0,200000 15,654946 15,654946 49,015464
300 1701730523 15,624382 0,200000 15,624382 15,624382 48,824263
303 1701730522 15,655056 0,200000 15,655056 15,655056 49,016159
303 1701730523 17,362488 0,600000 15,624476 20,756031 184,329120
273 1701730522 0,157523 0,200000 0,157523 0,157523 0,004963
318 1701730524 0,106456 0,200000 0,106456 0,106456 0,002267
291 1701730524 0,196485 0,200000 0,196485 0,196485 0,007721
315 1701730524 0,081807 0,200000 0,081807 0,081807 0,001338
309 1701730524 0,139638 0,200000 0,139638 0,139638 0,003900
312 1701730524 0,148905 0,600000 0,139523 0,154295 0,013330
321 1701730524 15,706886 0,200000 15,706886 15,706886 49,341255
324 1701730524 20,755947 0,200000 20,755947 20,755947 86,161864
297 1701730524 0,082890 0,200000 0,082890 0,082890 0,001374
300 1701730524 15,624382 0,200000 15,624382 15,624382 48,824263
303 1701730524 17,362488 0,600000 15,624476 20,756031 184,329120
318 1701730525 0,106456 0,200000 0,106456 0,106456 0,002267
291 1701730525 0,196485 0,200000 0,196485 0,196485 0,007721
315 1701730525 0,081807 0,200000 0,081807 0,081807 0,001338
309 1701730525 0,139638 0,200000 0,139638 0,139638 0,003900
312 1701730525 0,148905 0,600000 0,139523 0,154295 0,013330
321 1701730525 15,706886 0,200000 15,706886 15,706886 49,341255
324 1701730525 20,755947 0,200000 20,755947 20,755947 86,161864
297 1701730525 0,082890 0,200000 0,082890 0,082890 0,001374
300 1701730525 15,624382 0,200000 15,624382 15,624382 48,824263
303 1701730525 17,362488 0,600000 15,624476 20,756031 184,329120
318 1701730526 0,106456 0,200000 0,106456 0,106456 0,002267
291 1701730526 0,196485 0,200000 0,196485 0,196485 0,007721
315 1701730526 0,081807 0,200000 0,081807 0,081807 0,001338
309 1701730526 0,139638 0,200000 0,139638 0,139638 0,003900
312 1701730526 0,148905 0,600000 0,139523 0,154295 0,013330
321 1701730526 15,706886 0,200000 15,706886 15,706886 49,341255
324 1701730526 20,755947 0,200000 20,755947 20,755947 86,161864
297 1701730526 0,082890 0,200000 0,082890 0,082890 0,001374
300 1701730526 15,624382 0,200000 15,624382 15,624382 48,824263
303 1701730526 17,362488 0,600000 15,624476 20,756031 184,329120
318 1701730527 0,106456 0,200000 0,106456 0,106456 0,002267
291 1701730527 0,196485 0,200000 0,196485 0,196485 0,007721
315 1701730527 0,081807 0,200000 0,081807 0,081807 0,001338
309 1701730527 0,139638 0,200000 0,139638 0,139638 0,003900
