offline_datapoint_19 1701728925 0,334
offline_datapoint_8 1701728925 12178,570
offline_datapoint_21 1701728927 192958464,000
offline_datapoint_1 1701728925 0,334
offline_datapoint_20 1701728927 4102209536,000
offline_datapoint_7 1701728927 7019593728,000
offline_datapoint_6 1701728925 1,827
offline_datapoint_12 1701728925 18,299
offline_datapoint_24 1701728925 9,266
offline_datapoint_13 1701728925 3306,528
offline_datapoint_18 1701728927 9,000
offline_datapoint_0 1701728925 5546,153
offline_datapoint_16 1701728925 588,198
offline_datapoint_28 1701728925 0,138
offline_datapoint_17 1701728925 1,669
offline_datapoint_10 1701728925 99,949
offline_datapoint_29 1701728925 0,000
offline_datapoint_22 1701728925 3788,800
offline_datapoint_4 1701728925 0,003
offline_datapoint_11 1701728930 732245,000
offline_datapoint_5 1701728930 3861,000
offline_datapoint_26 1701728930 376049664,000
offline_datapoint_14 1701728930 409731072,000
offline_datapoint_3 1701728930 6760108032,000
offline_datapoint_9 1701728930 192667648,000
offline_datapoint_25 1701728930 834,000
offline_datapoint_19 1701728928 14290,860
offline_datapoint_8 1701728928 17326,555
offline_datapoint_21 1701728930 192667648,000
offline_datapoint_1 1701728928 75,768
offline_datapoint_20 1701728930 4100706304,000
offline_datapoint_7 1701728930 6994219008,000
offline_datapoint_6 1701728928 1,297
offline_datapoint_12 1701728928 29,828
offline_datapoint_24 1701728928 14,398
offline_datapoint_13 1701728928 4428,093
offline_datapoint_18 1701728930 0,000
offline_datapoint_0 1701728928 6284,403
offline_datapoint_16 1701728928 1081,684
offline_datapoint_28 1701728928 744,486
offline_datapoint_17 1701728928 87,399
offline_datapoint_10 1701728928 90,424
offline_datapoint_29 1701728928 1,329
offline_datapoint_22 1701728928 670879,635
offline_datapoint_4 1701728928 14,890
offline_datapoint_11 1701728933 732245,000
offline_datapoint_5 1701728933 3853,000
offline_datapoint_26 1701728933 376074240,000
offline_datapoint_14 1701728933 408465408,000
offline_datapoint_3 1701728933 6746267648,000
offline_datapoint_9 1701728933 192905216,000
offline_datapoint_25 1701728933 846,000
offline_datapoint_19 1701728931 9,031
offline_datapoint_8 1701728931 28466,698
offline_datapoint_21 1701728933 192905216,000
offline_datapoint_1 1701728931 2,341
offline_datapoint_20 1701728933 4088152064,000
offline_datapoint_7 1701728933 6977409024,000
offline_datapoint_6 1701728931 0,261
offline_datapoint_12 1701728931 31,790
offline_datapoint_24 1701728931 14,374
offline_datapoint_13 1701728931 3782,738
offline_datapoint_18 1701728933 0,000
offline_datapoint_0 1701728931 6243,909
offline_datapoint_16 1701728931 2097,581
offline_datapoint_28 1701728931 0,510
offline_datapoint_17 1701728931 8,362
offline_datapoint_10 1701728931 99,505
offline_datapoint_29 1701728931 0,669
offline_datapoint_22 1701728931 9031,680
offline_datapoint_4 1701728931 0,010
offline_datapoint_11 1701728936 732245,000
offline_datapoint_5 1701728936 3850,000
offline_datapoint_26 1701728936 376172544,000
offline_datapoint_14 1701728936 408580096,000
offline_datapoint_3 1701728936 6779080704,000
offline_datapoint_9 1701728936 192212992,000
offline_datapoint_25 1701728936 820,000
offline_datapoint_19 1701728934 6,669
offline_datapoint_8 1701728934 25345,395
offline_datapoint_21 1701728936 192212992,000
offline_datapoint_1 1701728934 1,334
offline_datapoint_20 1701728936 4089262080,000
offline_datapoint_7 1701728936 6978576384,000
offline_datapoint_6 1701728934 0,782
offline_datapoint_12 1701728934 14,393
offline_datapoint_24 1701728934 6,906
offline_datapoint_13 1701728934 3261,047
offline_datapoint_18 1701728936 0,000
offline_datapoint_0 1701728934 5237,550
