offline_datapoint_18 1701730511 2402,798
offline_datapoint_23 1701730513 0,000
offline_datapoint_5 1701730511 4221,167
offline_datapoint_21 1701730511 683,051
offline_datapoint_3 1701730511 1,296
offline_datapoint_22 1701730511 34,202
offline_datapoint_15 1701730511 98,169
offline_datapoint_4 1701730511 6,309
offline_datapoint_27 1701730511 10190,291
offline_datapoint_9 1701730511 0,026
offline_datapoint_16 1701730516 732224,000
offline_datapoint_10 1701730516 3203,000
offline_datapoint_1 1701730516 393826304,000
offline_datapoint_19 1701730516 417120256,000
offline_datapoint_8 1701730516 6814851072,000
offline_datapoint_14 1701730516 191320064,000
offline_datapoint_0 1701730516 1357,000
offline_datapoint_24 1701730514 7,360
offline_datapoint_13 1701730514 14432,545
offline_datapoint_26 1701730516 191320064,000
offline_datapoint_6 1701730514 2,677
offline_datapoint_25 1701730516 4115615744,000
offline_datapoint_12 1701730516 6399676416,000
offline_datapoint_11 1701730514 1,437
offline_datapoint_17 1701730514 14,015
offline_datapoint_29 1701730514 7,449
offline_datapoint_18 1701730514 2541,704
offline_datapoint_23 1701730516 1,000
offline_datapoint_5 1701730514 4567,841
offline_datapoint_21 1701730514 1131,840
offline_datapoint_3 1701730514 0,833
offline_datapoint_22 1701730514 34,795
offline_datapoint_15 1701730514 97,383
offline_datapoint_4 1701730514 2,007
offline_datapoint_27 1701730514 9432,615
offline_datapoint_9 1701730514 0,017
offline_datapoint_16 1701730519 732224,000
offline_datapoint_10 1701730519 3201,000
offline_datapoint_1 1701730519 393834496,000
offline_datapoint_19 1701730519 417136640,000
offline_datapoint_8 1701730519 6818856960,000
offline_datapoint_14 1701730519 190550016,000
offline_datapoint_0 1701730519 1348,000
offline_datapoint_24 1701730517 1,658
offline_datapoint_13 1701730517 11870,528
offline_datapoint_26 1701730519 190550016,000
offline_datapoint_6 1701730517 0,663
offline_datapoint_25 1701730519 4117573632,000
offline_datapoint_12 1701730519 6390730752,000
offline_datapoint_11 1701730517 0,777
offline_datapoint_17 1701730517 21,777
offline_datapoint_29 1701730517 10,361
offline_datapoint_18 1701730517 2958,431
offline_datapoint_23 1701730519 1,000
offline_datapoint_5 1701730517 5535,579
offline_datapoint_21 1701730517 522,856
offline_datapoint_3 1701730517 1,579
offline_datapoint_22 1701730517 12,930
offline_datapoint_15 1701730517 96,308
offline_datapoint_4 1701730517 0,000
offline_datapoint_27 1701730517 7325,538
offline_datapoint_9 1701730517 0,032
offline_datapoint_16 1701730522 732224,000
offline_datapoint_10 1701730522 3203,000
offline_datapoint_1 1701730522 393846784,000
offline_datapoint_19 1701730522 417030144,000
offline_datapoint_8 1701730522 6819987456,000
offline_datapoint_14 1701730522 190996480,000
offline_datapoint_0 1701730522 1346,000
offline_datapoint_24 1701730520 368,237
offline_datapoint_13 1701730520 23943,411
offline_datapoint_26 1701730522 190996480,000
offline_datapoint_6 1701730520 58,931
offline_datapoint_25 1701730522 4118478848,000
offline_datapoint_12 1701730522 6396833792,000
offline_datapoint_11 1701730520 0,780
offline_datapoint_17 1701730520 26,522
offline_datapoint_29 1701730520 12,615
offline_datapoint_18 1701730520 3526,554
offline_datapoint_23 1701730522 0,000
offline_datapoint_5 1701730520 6268,357
offline_datapoint_21 1701730520 1847,845
offline_datapoint_3 1701730520 3,044
offline_datapoint_22 1701730520 70,251
offline_datapoint_15 1701730520 96,861
offline_datapoint_4 1701730520 1,332
offline_datapoint_27 1701730520 23251,109
offline_datapoint_9 1701730520 0,061
offline_datapoint_16 1701730525 732224,000
offline_datapoint_10 1701730525 3200,000
offline_datapoint_1 1701730525 393867264,000
offline_datapoint_19 1701730525 417054720,000
offline_datapoint_8 1701730525 6819565568,000
offline_datapoint_14 1701730525 191287296,000
offline_datapoint_0 1701730525 1352,000
offline_datapoint_24 1701730523 5,342
offline_datapoint_13 1701730523 8609,209
offline_datapoint_26 1701730525 191287296,000
offline_datapoint_6 1701730523 1,669
offline_datapoint_25 1701730525 4113805312,000
offline_datapoint_12 1701730525 6377426944,000
offline_datapoint_11 1701730523 1,174
offline_datapoint_17 1701730523 19,392
offline_datapoint_29 1701730523 11,217
offline_datapoint_18 1701730523 3420,778
offline_datapoint_23 1701730525 0,000
offline_datapoint_5 1701730523 6290,960
offline_datapoint_21 1701730523 1266,139
offline_datapoint_3 1701730523 0,352
offline_datapoint_22 1701730523 7,012
offline_datapoint_15 1701730523 99,644
offline_datapoint_4 1701730523 0,000
offline_datapoint_27 1701730523 6412,190
offline_datapoint_9 1701730523 0,007
offline_datapoint_16 1701730528 732224,000
offline_datapoint_10 1701730528 3199,000
offline_datapoint_1 1701730528 393711616,000
offline_datapoint_19 1701730528 417079296,000
offline_datapoint_8 1701730528 6813229056,000
offline_datapoint_14 1701730528 191307776,000
offline_datapoint_0 1701730528 1346,000
offline_datapoint_24 1701730526 21,913
offline_datapoint_13 1701730526 7463,226
offline_datapoint_26 1701730528 191307776,000
offline_datapoint_6 1701730526 2,988
offline_datapoint_25 1701730528 4112232448,000
offline_datapoint_12 1701730528 6376013824,000
offline_datapoint_11 1701730526 1,167
